locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1,O1,,,,0,0,,
2,AP,,,,35,105,,
3,EU,,,,47,8,,
4,AD,,,,42.5,1.5,,
5,AE,,,,24,54,,
6,AF,,,,33,65,,
99964,PL,27,Bialopole,,50.9833,23.75,,
99965,PL,34,Kuznia,,51.95,17.9167,,
99966,PL,52,Rogozino,,52.5667,19.8167,,
99967,PL,25,Hazlach,,49.8,18.6667,,
127008,US,WI,Rio,53960,43.4478,-89.2398,669,920
127009,US,WI,Poynette,53955,43.3938,-89.3968,669,608
127010,US,WI,Oakfield,53065,43.6864,-88.563,658,920
127011,US,WI,Endeavor,53930,43.6967,-89.4882,669,608
127012,US,WI,Lyndon Station,53944,43.7122,-89.8996,669,608
127013,US,WI,Holmen,54636,44.0069,-91.2272,702,608
127014,US,WI,Cochrane,54622,44.244,-91.7606,702,608
127015,US,TN,Birchwood,37308,35.3258,-84.9979,575,423
127016,US,KY,Hazard,,37.2495,-83.1932,541,606
127017,US,VA,Dungannon,24245,36.8429,-82.5233,531,276
127018,US,TN,Rockwood,37854,35.8895,-84.731,557,865
127019,US,TN,Briceville,37710,36.1582,-84.3046,557,865
127020,US,GA,Taylorsville,30178,34.1114,-84.9634,524,770
127021,US,GA,Dahlonega,,34.5326,-83.9849,524,706
127022,US,GA,Ball Ground,30107,34.341,-84.349,524,770
127023,US,GA,White,30184,34.2528,-84.7127,524,770
127024,US,KY,Stanford,40484,37.5159,-84.6816,541,606
127025,US,KY,Avawam,41713,37.2245,-83.2752,541,606
127026,US,AL,Jack,36346,31.5516,-85.9636,606,334
127027,US,GA,Bloomingdale,31302,32.1175,-81.3233,507,912
127028,US,AL,Headland,36345,31.3623,-85.3157,606,334
127029,US,KY,Stinnett,40868,37.1094,-83.413,541,606
127030,US,AL,Slocomb,36375,31.1053,-85.5202,606,334
127031,US,GA,Quitman,31643,30.7975,-83.5504,530,229
127032,US,TN,Decatur,37322,35.5019,-84.8259,575,423
127033,US,GA,Roopville,30170,33.4359,-85.1851,524,770
127034,US,GA,Ellijay,,34.6948,-84.4822,524,706
127035,US,KY,Garner,41817,37.3616,-82.8774,564,606
127036,US,GA,Epworth,30541,34.9216,-84.4231,524,706
127037,US,GA,Bethlehem,30620,33.9297,-83.7447,524,770
127038,US,TN,Philadelphia,37846,35.6929,-84.4658,557,865
417481,BG,39,Zimnica,,42.5833,26.6,,
417482,GB,N5,Rushford,,52.3833,0.8333,,
417483,GB,H5,Stretton,,52.6,-1.0167,,
417484,DE,2,Langwitz,,49.2167,12.7333,,
417485,DE,8,Winzenheim,,49.8667,7.8667,,
417486,DE,8,Diedesfeld,,49.3203,8.1372,,
417487,DE,8,Weinheim,,49.7361,8.0653,,
655009,RU,66,Saint Petersburg,197034,59.8944,30.2642,,
655010,FR,A4,Villemorien,10110,48.0851,4.2965,,
655011,BR,27,Aspasia,,-20.1589,-50.7272,,
655012,BR,30,Recife,50110,-8.05,-34.9,,
655013,BR,21,Rio De Janeiro,21234,-22.9,-43.2333,,
815001,PT,14,Vila Franca De Xira,2600-111,38.9552,-8.9897,,
815002,PT,19,Amora,2845-482,38.6296,-9.1156,,
815003,PT,14,Barcarena,2730-163,38.7453,-9.2817,,
815004,LT,61,Raseiniu,60001,55.3736,23.1217,,
